x index;y index;crate;board;order;MEZ CH#;FEE CH#;PHY;Count;Holder;CableType;FEE-LEFT;;;;FEE-RIGHT;;;;
2;12;1;2;14;4;3;0;423;H0050;;0;4;3;;9;4;3;;
3;12;1;2;13;4;2;0;424;H0043;13;0;4;2;;9;4;2;;
4;12;1;3;4;1;5;0;425;H0776;;0;1;5;;9;1;5;;
5;12;1;3;3;1;4;0;426;H0234;;0;1;4;;9;1;4;;
6;12;1;3;2;1;3;0;427;H0772;;0;1;3;;9;1;3;;
7;12;1;3;1;1;2;0;428;H0357;19;0;1;2;;9;1;2;;
8;12;1;3;20;5;5;1;429;H0042;;0;5;5;;9;5;5;;
9;12;1;3;19;5;4;1;430;H0072;;0;5;4;;9;5;4;;
10;12;1;3;18;5;3;1;431;H0473;;0;5;3;;9;5;3;;
11;12;1;3;17;5;2;1;432;H0418;19;0;5;2;;9;5;2;;
12;12;1;2;8;2;5;1;433;H0448;;0;2;5;;9;2;5;;
13;12;1;2;7;2;4;1;434;H0478;;0;2;4;;9;2;4;;
14;12;1;2;6;2;3;1;435;H0407;;0;2;3;;9;2;3;;
15;12;1;2;5;2;2;1;436;H0409;13;0;2;2;;9;2;2;;
0;13;1;2;12;3;5;0;405;H0490;;0;3;5;;9;3;5;;
1;13;1;2;11;3;4;0;406;H0216;;0;3;4;;9;3;4;;
2;13;1;2;10;3;3;0;407;H0412;;0;3;3;;9;3;3;;
3;13;1;2;9;3;2;0;408;H0446;15;0;3;2;;9;3;2;;
4;13;1;2;8;2;5;0;409;H0509;;0;2;5;;9;2;5;;
5;13;1;2;7;2;4;0;410;H0221;;0;2;4;;9;2;4;;
6;13;1;2;6;2;3;0;411;H0443;;0;2;3;;9;2;3;;
7;13;1;2;5;2;2;0;412;H0207;16;0;2;2;;9;2;2;;
8;13;1;2;16;4;5;1;413;H0399;;0;4;5;;9;4;5;;
9;13;1;2;15;4;4;1;414;H0455;;0;4;4;;9;4;4;;
10;13;1;2;14;4;3;1;415;H0392;;0;4;3;;9;4;3;;
11;13;1;2;13;4;2;1;416;H0485;16;0;4;2;;9;4;2;;
12;13;1;2;12;3;5;1;417;H0428;;0;3;5;;9;3;5;;
13;13;1;2;11;3;4;1;418;H0477;;0;3;4;;9;3;4;;
14;13;1;2;10;3;3;1;419;H0233;;0;3;3;;9;3;3;;
15;13;1;2;9;3;2;1;420;H0470;15;0;3;2;;9;3;2;;
0;14;1;1;18;5;3;0;389;H0414;;0;5;3;;9;5;3;;
1;14;1;1;15;4;4;0;390;H0424;;0;4;4;;9;4;4;;
2;14;1;1;12;3;5;0;391;H0456;;0;3;5;;9;3;5;;
3;14;1;1;9;3;2;0;392;H0542;7;0;3;2;;9;3;2;;
4;14;1;2;4;1;5;0;393;H0571;;0;1;5;;9;1;5;;
5;14;1;2;3;1;4;0;394;H0508;;0;1;4;;9;1;4;;
6;14;1;2;2;1;3;0;395;H0609;;0;1;3;;9;1;3;;
7;14;1;2;1;1;2;0;396;H0565;16;0;1;2;;9;1;2;;
8;14;1;2;20;5;5;1;397;H0293;;0;5;5;;9;5;5;;
9;14;1;2;19;5;4;1;398;H0292;;0;5;4;;9;5;4;;
10;14;1;2;18;5;3;1;399;H0278;;0;5;3;;9;5;3;;
11;14;1;2;17;5;2;1;400;H0347;16;0;5;2;;9;5;2;;
12;14;1;1;11;3;4;1;401;H0582;;0;3;4;;9;3;4;;
13;14;1;1;8;2;5;1;402;H0327;;0;2;5;;9;2;5;;
14;14;1;1;5;2;2;1;403;H0391;4;0;2;2;;9;2;2;;
15;14;1;1;2;1;3;1;404;H0227;;0;1;3;;9;1;3;;
0;15;1;1;17;5;2;0;375;H0401;4;0;5;2;;9;5;2;;
1;15;1;1;14;4;3;0;376;H0301;;0;4;3;;9;4;3;;
2;15;1;1;11;3;4;0;377;H0274;;0;3;4;;9;3;4;;
3;15;1;1;8;2;5;0;378;H0321;;0;2;5;;9;2;5;;
4;15;1;1;6;2;3;0;379;H0445;;0;2;3;;9;2;3;;
5;15;1;1;4;1;5;0;380;H0464;;0;1;5;;9;1;5;;
6;15;1;1;2;1;3;0;381;H0457;;0;1;3;;9;1;3;;
7;15;1;1;18;5;3;1;382;H0279;;0;5;3;;9;5;3;;
8;15;1;1;16;4;5;1;383;H0332;;0;4;5;;9;4;5;;
9;15;1;1;14;4;3;1;384;H0330;;0;4;3;;9;4;3;;
10;15;1;1;12;3;5;1;385;H0398;;0;3;5;;9;3;5;;
11;15;1;1;9;3;2;1;386;H0333;7;0;3;2;;9;3;2;;
12;15;1;1;6;2;3;1;387;H0614;;0;2;3;;9;2;3;;
13;15;1;1;3;1;4;1;388;H0558;;0;1;4;;9;1;4;;
0;16;1;1;16;4;5;0;361;H0641;;0;4;5;;9;4;5;;
1;16;1;1;13;4;2;0;362;H0536;4;0;4;2;;9;4;2;;
2;16;1;1;10;3;3;0;363;H0552;;0;3;3;;9;3;3;;
3;16;1;1;7;2;4;0;364;H0578;;0;2;4;;9;2;4;;
4;16;1;1;5;2;2;0;365;H0632;7;0;2;2;;9;2;2;;
5;16;1;1;3;1;4;0;366;H0586;;0;1;4;;9;1;4;;
6;16;1;1;1;1;2;0;367;H0519;7;0;1;2;;9;1;2;;
7;16;1;1;19;5;4;1;368;H0602;;0;5;4;;9;5;4;;
8;16;1;1;17;5;2;1;369;H0587;7;0;5;2;;9;5;2;;
9;16;1;1;15;4;4;1;370;H0595;;0;4;4;;9;4;4;;
10;16;1;1;13;4;2;1;371;H0297;7;0;4;2;;9;4;2;;
11;16;1;1;10;3;3;1;372;H0397;;0;3;3;;9;3;3;;
12;16;1;1;7;2;4;1;373;H0603;;0;2;4;;9;2;4;;
13;16;1;1;4;1;5;1;374;H0596;;0;1;5;;9;1;5;;
0;17;2;3;20;5;5;0;345;H0633;;0;5;5;;9;5;5;;
1;17;2;3;19;5;4;0;346;H0599;;0;5;4;;9;5;4;;
2;17;2;3;17;5;2;0;347;H0611;8;0;5;2;;9;5;2;;
3;17;2;3;15;4;4;0;348;H0553;;0;4;4;;9;4;4;;
4;17;2;3;12;3;5;0;349;H0580;;0;3;5;;9;3;5;;
5;17;2;3;9;3;2;0;350;H0583;13;0;3;2;;9;3;2;;
6;17;2;3;6;2;3;0;351;H0615;;0;2;3;;9;2;3;;
7;17;2;3;3;1;4;0;352;H0543;;0;1;4;;9;1;4;;
8;17;2;3;20;5;5;1;353;H0588;;0;5;5;;9;5;5;;
9;17;2;3;17;5;2;1;354;H0432;13;0;5;2;;9;5;2;;
10;17;2;3;14;4;3;1;355;H0296;;0;4;3;;9;4;3;;
11;17;2;3;11;3;4;1;356;H0600;;0;3;4;;9;3;4;;
12;17;2;3;8;2;5;1;357;H0628;;0;2;5;;9;2;5;;
13;17;2;3;5;2;2;1;358;H0416;8;0;2;2;;9;2;2;;
14;17;2;3;3;1;4;1;359;H0617;;0;1;4;;9;1;4;;
15;17;2;3;1;1;2;1;360;H0661;8;0;1;2;;9;1;2;;
0;18;2;3;18;5;3;0;331;H0413;;0;5;3;;9;5;3;;
1;18;2;3;16;4;5;0;332;H0303;;0;4;5;;9;4;5;;
2;18;2;3;14;4;3;0;333;H0459;;0;4;3;;9;4;3;;
3;18;2;3;11;3;4;0;334;H0689;;0;3;4;;9;3;4;;
4;18;2;3;8;2;5;0;335;H0844;;0;2;5;;9;2;5;;
5;18;2;3;5;2;2;0;336;H0659;13;0;2;2;;9;2;2;;
6;18;2;3;2;1;3;0;337;H0680;;0;1;3;;9;1;3;;
